date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:00	7997/7997	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:15%20GMT	https://www.networkinfrastructure.biz/employment/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/employment/index.html	(from https://www.networkinfrastructure.biz/)
14:23:00	13150/13150	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:14%20GMT	https://www.networkinfrastructure.biz/health-safety/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/health-safety/index.html	(from https://www.networkinfrastructure.biz/)
14:23:01	1737/1737	---M--	200	added ('OK')	image/gif	etag:%22575873ef-6c9%22	https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/loading.gif	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/loading.gif	(from https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/default.css)
14:23:01	11897/11897	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:54%20GMT	https://www.networkinfrastructure.biz/training-academy/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/training-academy/index.html	(from https://www.networkinfrastructure.biz/)
14:23:01	18743/18743	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:54%20GMT	https://www.networkinfrastructure.biz/contact-us/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/contact-us/index.html	(from https://www.networkinfrastructure.biz/)
14:23:01	1281/1281	---M--	200	added ('OK')	image/png	etag:%22575873ef-501%22	https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/bullets.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/bullets.png	(from https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/default.css)
14:23:01	824/824	---M--	200	added ('OK')	image/png	etag:%22338-534c96f0199c0%22	https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/arrows.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/arrows.png	(from https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/default.css)
14:23:02	10570/10570	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:55%20GMT	https://www.networkinfrastructure.biz/about-us/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/about-us/index.html	(from https://www.networkinfrastructure.biz/)
14:23:02	7728/7728	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:55%20GMT	https://www.networkinfrastructure.biz/news/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/news/index.html	(from https://www.networkinfrastructure.biz/)
14:23:02	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:55%20GMT	https://www.networkinfrastructure.biz/themes/img/glyphicons-halflings.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/img/glyphicons-halflings.png	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/bootstrap.css)
